"","vector","type","label","units","parent_vector","aggregation","details"
"1","v_CA21_1","Total","Population, 2021","Number",NA,"Additive","CA 2021 Census; Population and Dwellings; Population, 2021"
"2","v_CA21_2","Total","Population, 2016","Number",NA,"Additive","CA 2021 Census; Population and Dwellings; Population, 2016"
"3","v_CA21_3","Total","Population percentage change, 2016 to 2021","Number",NA,"Average of v_CA21_402","CA 2021 Census; Population and Dwellings; Population percentage change, 2016 to 2021"
"4","v_CA21_4","Total","Total private dwellings","Number",NA,"Additive","CA 2021 Census; Population and Dwellings; Total private dwellings"
"5","v_CA21_5","Total","Private dwellings occupied by usual residents","Number","v_CA21_4","Additive","CA 2021 Census; Population and Dwellings; Total private dwellings; Private dwellings occupied by usual residents"
"6","v_CA21_6","Total","Population density per square kilometre","Ratio",NA,"Average of v_CA21_7","CA 2021 Census; Population and Dwellings; Population density per square kilometre"
"7","v_CA21_7","Total","Land area in square kilometres","Number",NA,"Additive","CA 2021 Census; Population and Dwellings; Land area in square kilometres"
"8","v_CA21_8","Total","Total - Age","Number",NA,"Additive","CA 2021 Census; 100% data; Total - Age"
"9","v_CA21_9","Male","Total - Age","Number",NA,"Additive","CA 2021 Census; 100% data; Total - Age"
"10","v_CA21_10","Female","Total - Age","Number",NA,"Additive","CA 2021 Census; 100% data; Total - Age"
"11","v_CA21_11","Total","0 to 14 years","Number","v_CA21_8","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years"
"12","v_CA21_12","Male","0 to 14 years","Number","v_CA21_9","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years"
"13","v_CA21_13","Female","0 to 14 years","Number","v_CA21_10","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years"
"14","v_CA21_14","Total","0 to 4 years","Number","v_CA21_11","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years"
"15","v_CA21_15","Male","0 to 4 years","Number","v_CA21_12","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years"
"16","v_CA21_16","Female","0 to 4 years","Number","v_CA21_13","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years"
"17","v_CA21_17","Total","Under 1 year","Number","v_CA21_14","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; Under 1 year"
"18","v_CA21_18","Male","Under 1 year","Number","v_CA21_15","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; Under 1 year"
"19","v_CA21_19","Female","Under 1 year","Number","v_CA21_16","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; Under 1 year"
"20","v_CA21_20","Total","1","Number","v_CA21_14","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; 1"
"21","v_CA21_21","Male","1","Number","v_CA21_15","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; 1"
"22","v_CA21_22","Female","1","Number","v_CA21_16","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; 1"
"23","v_CA21_23","Total","2","Number","v_CA21_14","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; 2"
"24","v_CA21_24","Male","2","Number","v_CA21_15","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; 2"
"25","v_CA21_25","Female","2","Number","v_CA21_16","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; 2"
"26","v_CA21_26","Total","3","Number","v_CA21_14","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; 3"
"27","v_CA21_27","Male","3","Number","v_CA21_15","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; 3"
"28","v_CA21_28","Female","3","Number","v_CA21_16","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; 3"
"29","v_CA21_29","Total","4","Number","v_CA21_14","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; 4"
"30","v_CA21_30","Male","4","Number","v_CA21_15","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; 4"
"31","v_CA21_31","Female","4","Number","v_CA21_16","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; 4"
"32","v_CA21_32","Total","5 to 9 years","Number","v_CA21_11","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years"
"33","v_CA21_33","Male","5 to 9 years","Number","v_CA21_12","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years"
"34","v_CA21_34","Female","5 to 9 years","Number","v_CA21_13","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years"
"35","v_CA21_35","Total","5","Number","v_CA21_32","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 5"
"36","v_CA21_36","Male","5","Number","v_CA21_33","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 5"
"37","v_CA21_37","Female","5","Number","v_CA21_34","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 5"
"38","v_CA21_38","Total","6","Number","v_CA21_32","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 6"
"39","v_CA21_39","Male","6","Number","v_CA21_33","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 6"
"40","v_CA21_40","Female","6","Number","v_CA21_34","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 6"
"41","v_CA21_41","Total","7","Number","v_CA21_32","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 7"
"42","v_CA21_42","Male","7","Number","v_CA21_33","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 7"
"43","v_CA21_43","Female","7","Number","v_CA21_34","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 7"
"44","v_CA21_44","Total","8","Number","v_CA21_32","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 8"
"45","v_CA21_45","Male","8","Number","v_CA21_33","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 8"
"46","v_CA21_46","Female","8","Number","v_CA21_34","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 8"
"47","v_CA21_47","Total","9","Number","v_CA21_32","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 9"
"48","v_CA21_48","Male","9","Number","v_CA21_33","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 9"
"49","v_CA21_49","Female","9","Number","v_CA21_34","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 5 to 9 years; 9"
"50","v_CA21_50","Total","10 to 14 years","Number","v_CA21_11","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years"
"51","v_CA21_51","Male","10 to 14 years","Number","v_CA21_12","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years"
"52","v_CA21_52","Female","10 to 14 years","Number","v_CA21_13","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years"
"53","v_CA21_53","Total","10","Number","v_CA21_50","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 10"
"54","v_CA21_54","Male","10","Number","v_CA21_51","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 10"
"55","v_CA21_55","Female","10","Number","v_CA21_52","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 10"
"56","v_CA21_56","Total","11","Number","v_CA21_50","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 11"
"57","v_CA21_57","Male","11","Number","v_CA21_51","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 11"
"58","v_CA21_58","Female","11","Number","v_CA21_52","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 11"
"59","v_CA21_59","Total","12","Number","v_CA21_50","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 12"
"60","v_CA21_60","Male","12","Number","v_CA21_51","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 12"
"61","v_CA21_61","Female","12","Number","v_CA21_52","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 12"
"62","v_CA21_62","Total","13","Number","v_CA21_50","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 13"
"63","v_CA21_63","Male","13","Number","v_CA21_51","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 13"
"64","v_CA21_64","Female","13","Number","v_CA21_52","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 13"
"65","v_CA21_65","Total","14","Number","v_CA21_50","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 14"
"66","v_CA21_66","Male","14","Number","v_CA21_51","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 14"
"67","v_CA21_67","Female","14","Number","v_CA21_52","Additive","CA 2021 Census; 100% data; Total - Age; 0 to 14 years; 10 to 14 years; 14"
"68","v_CA21_68","Total","15 to 64 years","Number","v_CA21_8","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years"
"69","v_CA21_69","Male","15 to 64 years","Number","v_CA21_9","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years"
"70","v_CA21_70","Female","15 to 64 years","Number","v_CA21_10","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years"
"71","v_CA21_71","Total","15 to 19 years","Number","v_CA21_68","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years"
"72","v_CA21_72","Male","15 to 19 years","Number","v_CA21_69","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years"
"73","v_CA21_73","Female","15 to 19 years","Number","v_CA21_70","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years"
"74","v_CA21_74","Total","15","Number","v_CA21_71","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 15"
"75","v_CA21_75","Male","15","Number","v_CA21_72","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 15"
"76","v_CA21_76","Female","15","Number","v_CA21_73","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 15"
"77","v_CA21_77","Total","16","Number","v_CA21_71","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 16"
